bpm,college,draft_pick,draft_year,entry,games,minutes,player,player_id,seasons,team,team_id,vorp,win_shares,win_shares_per48
7.2,Michigan State University,1,1979,1,906,33245,Magic Johnson,johnsma02,13,Los Angeles Lakers,LAL,77.4,155.8,.225
0.2,"University of California, Los Angeles",2,1979,2,823,23370,Dave Greenwood,greenda01,12,Chicago Bulls,LAL,13.1,46.4,.095
-0.5,University of San Francisco,3,1979,3,963,27491,Bill Cartwright,cartwbi01,15,New York Knicks,LAL,10.7,72.8,.127
-0.8,Michigan State University,4,1979,4,305,6032,Greg Kelser,kelsegr01,6,Detroit Pistons,LAL,1.9,8.6,.069
3.8,University of Arkansas,5,1979,5,767,23150,Sidney Moncrief,moncrsi01,11,Milwaukee Bucks,LAL,33.9,90.3,.187
-2.3,Rutgers University,6,1979,6,595,11625,James Bailey,baileja01,9,Seattle SuperSonics,LAL,-0.8,16.3,.067
0.5,Baylor University,7,1979,7,984,24308,Vinnie Johnson,johnsvi01,13,Seattle SuperSonics,LAL,15.2,50.8,.100
1.2,University of Louisiana at Monroe,8,1979,8,599,18818,Calvin Natt,nattca01,11,New Jersey Nets,LAL,15.1,57.2,.146
-4.6,University of Arizona,9,1979,9,206,3192,Larry Demic,demicla01,3,New York Knicks,LAL,-2.1,1.4,.022
-5.8,"University of California, Los Angeles",10,1979,10,73,1121,Roy Hamilton,hamilro01,2,Detroit Pistons,LAL,-1.1,-0.4,-.017
-1.1,University of Southern California,11,1979,11,629,19284,Cliff Robinson,robincl01,11,New Jersey Nets,LAL,4.3,30.5,.076
-0.3,University of Dayton,12,1979,12,784,21357,Jim Paxson,paxsoji02,11,Portland Trail Blazers,LAL,9.0,53.7,.121
0.6,University of North Carolina,13,1979,13,600,10192,Dudley Bradley,bradldu01,9,Indiana Pacers,LAL,6.7,16.5,.078
-5.0,"University of California, Los Angeles",14,1979,14,93,686,Brad Holland,hollabr01,3,Los Angeles Lakers,LAL,-0.5,0.4,.026
-0.7,University of Michigan,15,1979,15,665,15863,Phil Hubbard,hubbaph01,10,Detroit Pistons,LAL,5.3,29.0,.088
0.5,Duke University,16,1979,16,259,5290,Jim Spanarkel,spanaji01,5,Philadelphia 76ers,LAL,3.3,12.3,.112
-11.4,East Texas State University,17,1979,17,12,90,Lee Johnson,johnsle01,1,Houston Rockets,LAL,-0.2,-0.2,-.095
0.5,University of Alabama,18,1979,18,438,11345,Reggie King,kingre01,6,Kansas City Kings,LAL,7.0,24.8,.105
-3.5,Mississippi State University,19,1979,19,52,628,Wiley Peck,peckwi01,1,San Antonio Spurs,LAL,-0.2,0.3,.023
,Loyola University of Chicago,20,1979,20,,,Larry Knight,,,Utah Jazz,LAL,,,
0.6,University of Rhode Island,21,1979,21,305,6617,Sly Williams,willisl01,7,New York Knicks,LAL,4.3,13.4,.097
0.2,University of Kentucky,22,1979,22,551,14246,Kyle Macy,macyky01,7,Phoenix Suns,LAL,7.9,36.0,.121
,Georgia Institute of Technology,23,1979,23,,,Tico Brown,,,Utah Jazz,LAL,,,
