player_id,position
moncrsi01,G
johnsvi01,G
macyky01,G
moorejo01,G
leaveal01,G
sichtje01,G
richacl01,G
hustoge01,G
highjo01,G
mackol01,G
duerote01,G
garlaga01,G
hollabr01,G
cartere01,G
peckwi01,G
mcculjo01,G
crosbte01,G
mccorke01,G
priceto01,G
deanegr01,G
,
,
kreklwa01,G
hamilro01,G
reidbi01,G
johnsma02,G-F
paxsoji02,G-F
bradldu01,G-F
spanaji01,G-F
nattca01,F
robincl01,F
kingre01,F
kelsegr01,F
garreca01,F
flowebr01,F
toonebe01,F
dawkipa01,F
johnsle01,F
zenoto01,F
nilesmi01,F
willisl01,F-G
johnsch02,F-G
greenda01,F-C
hubbaph01,F-C
jonesch01,F-C
baileja01,F-C
jonesed01,F-C
curetea01,F-C
hordgce01,F-C
demicla01,F-C
laimbbi01,C
cartwbi01,C
donalja01,C
eatonma01,C
kramear01,C
norrisy01,C
mokespa01,C-F
sparrro01,G
toneyan01,G
drewla01,G
cookda01,G
griffda01,G
ranseke01,G
matthwe01,G
cartebu01,G
romarlo01,G
lestero01,G
moorelo01,G
worthsa01,G
brittda01,G
jacksto02,G
fulleto01,G
nattke01,G
nicksca01,G
kinchch01,G
reidbi01,G
durenjo01,G
woodsmi01,G-F
hanzlbi01,G-F
whitnha02,G-F
vandeki01,F
rambiku01,F
orrlo01,F
brookmi01,F
wileymi01,F
wilkeja02,F
robinwa01,F
keacl01,F
yonakri01,F
scalede01,F
sheltcr01,F
davismo01,F
stroujo01,F
milledi01,F
stroejo01,F
rayja01,F
valenro01,F
allumda01,F
okoremi01,F-G
collido02,F-G
rankwa01,F-G
mchalke01,F-C
smithla01,F-C
johnsre01,F-C
gminsmi01,C
oldhaja01,C
baileca01,C
mahorri01,C-F
carrojo01,C-F
rulanje01,C-F
nimphku01,C-F
brownri01,C-F
harpemi01,C-F
bransbr01,C-F
thomais01,G
blackro01,G
aingeda01,G
valenda01,G
johnsfr01,G
edwarfr01,G
wheelcl01,G
radfoma01,G
bradlch01,G
burkmro01,G
rowlade01,G
blumera01,G
burnsda01,G
dillami01,G
lloydle01,G-F
woodal01,G-F
mcgeemi01,G-F
turneel01,G-F
mckenke01,G-F
jackstr01,G-F
wittsga01,G-F
woolror01,F
vinceja01,F
vraneda01,F
willisa02,F
davisch02,F
verhope01,F
sprigla01,F
tolbera01,F
dennake01,F
rainsed01,F
smithji01,F
bradlal02,F
woodho01,F
greenke01,F
cattabo01,F
dykemcr01,F
gregocl01,F
lingest01,F
aguirma01,F-G
johnsed03,F-G
tripuke01,F-G
banksge01,F-G
kingal01,F-G
lampje01,F-G
macklru01,F-G
loderke01,F-G
willibu01,F-C
nancela01,F-C
chambto01,F-C
brickfr01,F-C
mcdowha01,F-C
gudmupe01,C
schayda01,C-F
listeal01,C-F
willihe01,C-F
johnsst03,C-F
coopejo01,C-F
piercri01,G
leverfa01,G
floydsl01,G
tucketr01,G
connele01,G
hodgecr01,G
baglejo01,G
dailequ01,G
eavesje01,G
williro02,G
warribr01,G
hugheed01,G
mosspe01,G
edmonke01,G
wilsomi01,G
robinol01,G
anderdw01,G
morgagu01,G
tayloje01,G
slaugjo01,G
,
,
schwejo01,G
russewa01,G
presspa01,G-F
smithde02,G-F
steppbr01,G-F
taylovi01,G-F
cummite01,F
worthja01,F
levincl01,F
higgiro01,F
kellocl01,F
nealyed01,F
garnebi02,F
whitero01,F
pittmch01,F
kopicjo01,F
anderjj01,F
gibsomi01,F
philled01,F
sapplwa01,F
greigjo01,F
magleda01,F
thompco01,F
wilkida01,F
wilkido01,F-G
sandemi01,F-G
teaglte01,F-G
brownto01,F-G
thirdda01,F-G
towneli01,F-G
roberfr01,F-C
hastisc01,F-C
anderri01,F-C
schoeru01,F-C
eatonma01,C
norriau01,C
bryanwa01,C
englech01,C
nevitch01,C
aleksch01,C
thompla01,C-F
mcnamma01,C-F
tillida01,C-F
johnsji01,C-F
drexlcl01,G
harpede01,G
scottby01,G
riverdo01,G
malonje01,G
threase01,G
paxsojo01,G
walkeda01,G
hansebo01,G
wiggimi01,G
whatlen01,G
sundvjo01,G
thomaji01,G
holtomi01,G
minnidi01,G
lowesi01,G
willike01,G
fostero01,G
mannipa01,G
suttlda01,G
,
,
clarkca01,G
carteho01,G
jonesma02,G
grangst01,G
ellisda01,G-F
ehlocr01,G-F
wittmra01,G-F
thomppa01,G-F
mcneach01,F
michela01,F
garrijo01,F
combsle01,F
willigu02,F
pinonjo01,F
thibepe01,F
weidnbr01,F
austike01,F
rautile01,F
kuczebr01,F
mccraro01,F-G
dayeda01,F-G
mccrasc01,F-G
baileth01,F-C
carran01,F-C
hinsoro01,F-C
greensi02,F-C
stipast01,C
breuera01,C
bolma01,C
kitegr01,C
waitegr01,C
crossru01,C
piotrto01,C
lockhda01,C
lamplji01,C
creviro01,C
westma01,C-F
sampsra01,C-F
stockjo01,G
roberal01,G
flemive01,G
humphja01,G
youngda01,G
coltest01,G
woodle01,G
stanste01,G
wilsoot01,G
carliri01,G
whitewi01,G
slubyto01,G
henryca01,G
burttst01,G
jacksra01,G
