draft_age,draft_pick,draft_year,entry,games,played_until,player,player_id,plus_minus,point_share,points,position,team,team_id
20,1,1979,1,1044,1994,Rob Ramage,ramagro01,-178,75.1,564,D,Colorado Rockies,NJD
20,2,1979,2,608,1988,Perry Turnbull,turnbpe01,-47,21.1,351,C,St. Louis Blues,NJD
20,3,1979,3,1018,1994,Mike Foligno,foligmi01,98,56.2,727,RW,Detroit Red Wings,NJD
19,4,1979,4,1432,1998,Mike Gartner,gartnmi01,68,121.8,1335,RW,Washington Capitals,NJD
20,5,1979,5,876,1992,Rick Vaive,vaiveri01,-79,65.4,788,RW,Vancouver Canucks,NJD
20,6,1979,6,570,1989,Craig Hartsburg,hartscr01,-6,54.9,413,D,Minnesota North Stars,NJD
19,7,1979,7,876,1995,Keith Brown,brownke02,65,59.9,342,D,Chicago Blackhawks,NJD
18,8,1979,8,1612,2001,Raymond Bourque,bourqra01,527,242.7,1579,D,Boston Bruins,NJD
19,9,1979,9,1009,1993,Laurie Boschman,boschla01,-129,28.1,577,C,Toronto Maple Leafs,NJD
19,1,1980,1,556,1990,Doug Wickenheiser,wickedo01,36,13.9,276,C,Montreal Canadiens,MTL
19,10,1979,10,460,1988,Tom McCarthy,mccarto02,52,30.5,399,LW,Minnesota North Stars,NJD
19,2,1980,2,1195,1999,Dave Babych,babycda01,-216,86.6,723,D,Winnipeg Jets,MTL
18,11,1979,11,1070,1997,Mike Ramsey,ramsemi01,203,77.4,345,D,Buffalo Sabres,NJD
19,3,1980,3,1196,1997,Denis Savard,savarde01,103,105.2,1338,C,Chicago Blackhawks,MTL
19,12,1979,12,648,1990,Paul Reinhart,reinhpa01,26,69.7,559,D,Atlanta Flames,NJD
19,4,1980,4,1615,2001,Larry Murphy,murphla01,197,176.8,1217,D,Los Angeles Kings,MTL
20,13,1979,13,631,1990,Doug Sulliman,sullido01,-142,15.2,328,RW,New York Rangers,NJD
20,5,1980,5,511,1991,Darren Veitch,veitcda01,19,40.7,257,D,Washington Capitals,MTL
20,14,1979,14,1016,1994,Brian Propp,proppbr01,298,83.6,1004,LW,Philadelphia Flyers,NJD
